,user,item,rating
50171,367,32029,3.0
90823,603,1265,3.0
22783,159,8645,4.0
98545,660,3751,3.0
13881,90,1590,5.0
70925,496,292,5.0
22663,159,253,1.5
71617,502,112,4.0
65142,463,3249,3.0
55146,396,316,4.0
83333,564,1035,3.0
44063,311,4161,3.0
52947,384,5957,0.5
96567,646,2746,5.0
65228,463,4308,5.0
69034,479,4226,4.5
55087,395,2640,2.0
68095,473,780,5.0
23229,165,393,1.0
71380,500,56367,4.5
4961,27,1343,4.0
90350,599,2145,5.0
89678,596,5445,3.5
66922,468,76093,2.5
77279,534,2822,4.0
39463,287,82173,2.5
522,7,380,4.0
8382,56,1968,5.0
69700,481,6975,4.5
35711,256,36,3.0
7641,48,55280,4.0
77104,534,455,4.0
84129,564,2612,5.0
10193,72,103249,2.5
95740,628,6870,2.5
86129,576,1210,4.0
4607,23,6944,3.0
60799,441,7303,4.0
68041,472,7147,3.0
95955,635,608,4.5
69784,481,44717,3.0
2013,15,6586,3.0
67411,472,1097,4.0
46580,342,1387,4.0
57188,412,3896,4.0
42147,303,2012,4.5
79533,547,4703,3.5
20799,142,4803,3.0
5288,30,1259,4.0
33210,239,3086,4.0
57407,416,355,2.0
80715,547,110882,3.5
23196,165,111,4.0
87515,582,2096,5.0
10476,73,1377,3.5
59565,431,902,3.0
51501,380,3786,3.0
3025,17,8665,3.5
60877,442,1219,4.5
52415,382,2724,2.0
98797,664,1199,3.5
81970,559,1292,5.0
11719,73,105213,3.5
92119,609,1361,1.0
71147,499,3089,5.0
92507,614,1225,4.0
27467,200,1580,4.0
46143,333,103335,4.5
49694,363,1035,5.0
46234,336,4406,5.0
60380,439,34,1.0
53673,387,3873,4.0
18975,126,474,5.0
80446,547,68848,3.5
52455,382,4823,3.0
94987,624,100498,1.5
71334,500,8366,4.0
36373,262,6942,2.0
46198,335,2993,2.5
52717,384,344,3.5
71388,500,62718,4.5
81762,558,3082,4.0
79706,547,6047,3.5
11479,73,65126,4.0
32009,232,2013,3.0
99655,665,4226,4.0
8912,57,1784,5.0
73064,509,4993,4.5
24367,176,5989,3.0
84039,564,2423,4.0
19402,130,368,3.0
82081,560,2422,3.0
93862,624,2126,2.0
76949,533,2240,3.0
38985,285,1278,4.0
86938,580,2797,3.5
61578,452,587,4.0
81708,558,1212,5.0
55288,397,72378,3.0
24738,177,2311,3.0
17070,111,1198,4.5
22723,159,1262,4.5
92652,615,3751,3.5
18915,125,55820,5.0
83261,564,858,2.0
97429,653,1580,5.0
24158,175,1196,5.0
81587,556,208,4.0
32481,235,110,2.5
16637,105,4995,2.5
